user,time,age,occupation,interest,frequency,asphalt,dirt,woodland,rock,path1,path2,path3,path4,path5,path6,path7,path8,path9,path10,path11,path12,path13,path14,path15,path16,path17,path18,path19,path20,path21,path22,path23,path24,path25,path26
3964673,9.68333333333,26-35,Student,2.0,Never,1.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0
3965271,11.9333333333,26-35,Student,1.0,Never,4.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0
3967230,17.7,18-25,Student,0.0,Never,1.0,4.0,5.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0
3967244,5.96666666667,18-25,Student,3.0,1-2 times,5.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0
3967262,12.0666666667,18-25,Student,3.0,1-2 times,3.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0
3967757,17.35,26-35,Student,3.0,Never,0.0,4.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0
3968018,5.33333333333,26-35,Student,4.0,More than 4 times,0.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0
3968059,2.5,18-25,Employee,4.0,1-2 times,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,4.0,2.0,5.0,2.0,5.0,2.0,4.0,4.0,1.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0
3968366,10.4333333333,26-35,Student,1.0,Never,1.0,2.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
3968824,15.3,18-25,Post-doc,4.0,4 times,0.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0
